Date;CAC40
14/02/2014;4355,490234
21/02/2014;4396,390137
28/02/2014;4417,040039
07/03/2014;4250,509766
14/03/2014;4327,910156
21/03/2014;4379,060059
28/03/2014;4449,330078
04/04/2014;4413,490234
11/04/2014;4431,810059
18/04/2014;4479,540039
25/04/2014;4487,390137
02/05/2014;4507,240234
09/05/2014;4444,930176
16/05/2014;4478,209961
23/05/2014;4530,509766
30/05/2014;4548,72998
06/06/2014;4554,399902
13/06/2014;4563,040039
20/06/2014;4439,629883
27/06/2014;4489,879883
04/07/2014;4301,259766
11/07/2014;4316,120117
18/07/2014;4410,649902
25/07/2014;4246,140137
01/08/2014;4149,830078
08/08/2014;4205,430176
15/08/2014;4292,930176
22/08/2014;4366,040039
29/08/2014;4494,939941
05/09/2014;4440,899902
12/09/2014;4464,700195
19/09/2014;4355,279785
26/09/2014;4242,669922
03/10/2014;4141,450195
10/10/2014;3918,620117
17/10/2014;4157,680176
24/10/2014;4141,240234
31/10/2014;4227,680176
07/11/2014;4187,950195
14/11/2014;4234,209961
21/11/2014;4382,339844
28/11/2014;4323,890137
05/12/2014;4225,859863
12/12/2014;4249,490234
19/12/2014;4295,850098
26/12/2014;4272,75
02/01/2015;4260,189941
09/01/2015;4323,200195
16/01/2015;4552,799805
23/01/2015;4631,430176
30/01/2015;4703,299805
06/02/2015;4726,200195
13/02/2015;4833,279785
20/02/2015;4910,620117
27/02/2015;4963,509766
06/03/2015;4987,330078
13/03/2015;5037,180176
20/03/2015;5006,350098
27/03/2015;5074,140137
03/04/2015;5208,950195
10/04/2015;5224,490234
17/04/2015;5178,910156
24/04/2015;5046,490234
01/05/2015;4967,220215
08/05/2015;5029,310059
15/05/2015;5146,700195
22/05/2015;5137,830078
29/05/2015;4987,129883
05/06/2015;4971,370117
12/06/2015;4803,47998
19/06/2015;5041,709961
26/06/2015;4835,560059
03/07/2015;4757,220215
10/07/2015;5121,5
17/07/2015;5086,740234
24/07/2015;5046,419922
31/07/2015;5192,109863
07/08/2015;4986,850098
14/08/2015;4783,549805
21/08/2015;4658,180176
28/08/2015;4653,790039
04/09/2015;4596,529785
11/09/2015;4655,140137
18/09/2015;4347,240234
25/09/2015;4426,540039
02/10/2015;4675,910156
09/10/2015;4675,290039
16/10/2015;4802,180176
23/10/2015;4885,819824
30/10/2015;4980,040039
06/11/2015;4856,649902
13/11/2015;4915,100098
20/11/2015;4946,02002
27/11/2015;4730,209961
04/12/2015;4635,060059
11/12/2015;4677,540039
18/12/2015;4663,180176
25/12/2015;4637,060059
01/01/2016;4403,580078
08/01/2016;4312,890137
15/01/2016;4206,399902
22/01/2016;4322,160156
29/01/2016;4228,529785
05/02/2016;3896,709961
12/02/2016;4239,759766
19/02/2016;4248,450195
26/02/2016;4416,080078
04/03/2016;4350,350098
11/03/2016;4442,890137
18/03/2016;4329,680176
25/03/2016;4385,060059
01/04/2016;4245,910156
08/04/2016;4511,509766
15/04/2016;4582,830078
22/04/2016;4557,359863
29/04/2016;4319,459961
06/05/2016;4293,27002
13/05/2016;4282,540039
20/05/2016;4512,640137
27/05/2016;4466
03/06/2016;4405,609863
10/06/2016;4153,009766
17/06/2016;4465,899902
24/06/2016;4237,47998
01/07/2016;4117,850098
08/07/2016;4385,52002
15/07/2016;4376,25
22/07/2016;4420,580078
29/07/2016;4345,629883
05/08/2016;4503,950195
12/08/2016;4437,060059
19/08/2016;4406,609863
26/08/2016;4439,669922
02/09/2016;4542,200195
09/09/2016;4373,220215
16/09/2016;4509,819824
23/09/2016;4443,839844
30/09/2016;4480,100098
07/10/2016;4405,169922
14/10/2016;4540,120117
21/10/2016;4533,569824
28/10/2016;4411,680176
04/11/2016;4530,950195
11/11/2016;4527,77002
18/11/2016;4542,560059
25/11/2016;4560,609863
02/12/2016;4735,47998
09/12/2016;4819,22998
16/12/2016;4834,629883
23/12/2016;4838,470215
30/12/2016;4900,640137
06/01/2017;4863,970215
13/01/2017;4841,140137
20/01/2017;4867,240234
27/01/2017;4794,290039
03/02/2017;4826,240234
10/02/2017;4899,459961
17/02/2017;4891,290039
24/02/2017;4963,799805
03/03/2017;4981,509766
10/03/2017;5013,379883
17/03/2017;5032,759766
24/03/2017;5089,640137
31/03/2017;5121,439941
07/04/2017;5071,100098
14/04/2017;5077,910156
21/04/2017;5271,700195
28/04/2017;5372,419922
05/05/2017;5383,419922
12/05/2017;5289,72998
19/05/2017;5337,160156
26/05/2017;5318,669922
02/06/2017;5264,240234
09/06/2017;5216,879883
16/06/2017;5281,930176
23/06/2017;5154,350098
30/06/2017;5152,399902
07/07/2017;5235,399902
14/07/2017;5199,220215
21/07/2017;5186,950195
28/07/2017;5130,490234
04/08/2017;5115,22998
11/08/2017;5146,850098
18/08/2017;5113,129883
25/08/2017;5085,589844
01/09/2017;5114,620117
08/09/2017;5225,200195
15/09/2017;5267,290039
22/09/2017;5293,77002
29/09/2017;5379,209961
06/10/2017;5360,810059
13/10/2017;5368,290039
20/10/2017;5455,399902
27/10/2017;5510,5
03/11/2017;5407,75
10/11/2017;5336,390137
17/11/2017;5379,540039
24/11/2017;5372,790039
01/12/2017;5383,859863
08/12/2017;5357,140137
15/12/2017;5385,970215
22/12/2017;5339,419922
29/12/2017;5413,689941
05/01/2018;5488,549805
12/01/2018;5494,830078
19/01/2018;5481,209961
26/01/2018;5454,549805
02/02/2018;5151,680176
09/02/2018;5222,52002
16/02/2018;5309,22998
23/02/2018;5262,560059
02/03/2018;5254,100098
09/03/2018;5267,259766
16/03/2018;5167,209961
23/03/2018;5167,299805
30/03/2018;5276,669922
06/04/2018;5309,220215
13/04/2018;5391,640137
20/04/2018;5453,580078
27/04/2018;5501,660156
04/05/2018;5545,950195
11/05/2018;5621,919922
18/05/2018;5548,450195
25/05/2018;5398,399902
01/06/2018;5448,359863
08/06/2018;5528,459961
15/06/2018;5316,009766
22/06/2018;5275,640137
29/06/2018;5366,319824
06/07/2018;5405,899902
13/07/2018;5417,069824
20/07/2018;5480,549805
27/07/2018;5460,97998
03/08/2018;5502,25
10/08/2018;5349,02002
17/08/2018;5419,330078
24/08/2018;5478,060059
31/08/2018;5243,839844
07/09/2018;5328,120117
14/09/2018;5451,589844
21/09/2018;5540,410156
28/09/2018;5410,850098
05/10/2018;5106,370117
12/10/2018;5116,790039
19/10/2018;5032,299805
26/10/2018;5085,779785
02/11/2018;5131,450195
09/11/2018;5033,620117
16/11/2018;4938,140137
23/11/2018;5006,25
30/11/2018;4780,459961
07/12/2018;4896,919922
14/12/2018;4692,459961
21/12/2018;4598,609863
28/12/2018;4611,490234
04/01/2019;4805,660156
11/01/2019;4794,370117
18/01/2019;4871,959961
25/01/2019;4992,720215
01/02/2019;4985,560059
08/02/2019;5062,52002
15/02/2019;5196,109863
22/02/2019;5240,529785
01/03/2019;5267,919922
08/03/2019;5349,779785
15/03/2019;5378,850098
22/03/2019;5296,540039
29/03/2019;5463,799805
05/04/2019;5485,720215
12/04/2019;5580,379883
19/04/2019;5557,669922
26/04/2019;5538,859863
03/05/2019;5313,160156
10/05/2019;5448,109863
17/05/2019;5281,370117
24/05/2019;5248,910156
31/05/2019;5278,430176
07/06/2019;5375,629883
14/06/2019;5535,569824
21/06/2019;5493,609863
28/06/2019;5620,72998
05/07/2019;5551,950195
12/07/2019;5550,549805
19/07/2019;5578,049805
26/07/2019;5557,410156
02/08/2019;5387,959961
09/08/2019;5236,930176
16/08/2019;5388,25
23/08/2019;5449,970215
30/08/2019;5593,370117
06/09/2019;5642,859863
13/09/2019;5659,080078
20/09/2019;5620,569824
27/09/2019;5438,77002
04/10/2019;5569,049805
11/10/2019;5673,069824
18/10/2019;5684,330078
25/10/2019;5729,859863
01/11/2019;5890,990234
08/11/2019;5901,080078
15/11/2019;5881,209961
22/11/2019;5912,720215
29/11/2019;5801,549805
06/12/2019;5884,259766
13/12/2019;5972,279785
20/12/2019;6029,549805
27/12/2019;6041,5
03/01/2020;6042,549805
10/01/2020;6039,029785
17/01/2020;5971,790039
24/01/2020;5871,77002
31/01/2020;6038,180176
07/02/2020;6093,140137
14/02/2020;6062,299805
21/02/2020;5495,600098
28/02/2020;5361,100098
06/03/2020;4044,26001
13/03/2020;3855,5
20/03/2020;4543,580078
27/03/2020;4220,959961
03/04/2020;4506,850098
10/04/2020;4350,160156
17/04/2020;4451
24/04/2020;4572,180176
01/05/2020;4501,439941
08/05/2020;4273,129883
15/05/2020;4445,450195
22/05/2020;4771,390137
29/05/2020;5011,97998
05/06/2020;4815,600098
12/06/2020;4958,75
19/06/2020;4918,580078
26/06/2020;5049,379883
03/07/2020;4921,009766
10/07/2020;5085,279785
17/07/2020;5033,759766
24/07/2020;4852,939941
31/07/2020;4885,129883
07/08/2020;5042,379883
14/08/2020;4911,240234
21/08/2020;5015,970215
28/08/2020;5009,52002
04/09/2020;5023,930176
11/09/2020;5039,5
18/09/2020;4762,620117
25/09/2020;4824,040039
02/10/2020;4911,939941
09/10/2020;4837,419922
16/10/2020;4851,379883
23/10/2020;4569,669922
30/10/2020;4983,990234
06/11/2020;5362,569824
13/11/2020;5474,660156
20/11/2020;5566,790039
27/11/2020;5574,359863
04/12/2020;5549,649902
11/12/2020;5549,459961
18/12/2020;5522,009766
25/12/2020;5551,410156
01/01/2021;5669,850098
08/01/2021;5681,140137
15/01/2021;5590,790039
22/01/2021;5510,52002
29/01/2021;5608,540039
05/02/2021;5669,819824
12/02/2021;5728,330078
19/02/2021;5783,890137
26/02/2021;5830,649902
05/03/2021;6033,759766
12/03/2021;6062,790039
19/03/2021;5952,410156
26/03/2021;6102,959961
02/04/2021;6165,720215
09/04/2021;6234,140137
16/04/2021;6267,279785
23/04/2021;6302,569824
30/04/2021;6357,089844
07/05/2021;6288,330078
14/05/2021;6343,580078
21/05/2021;6435,709961
28/05/2021;6507,919922
04/06/2021;6546,490234
11/06/2021;6666,259766
18/06/2021;6631,149902
25/06/2021;6553,819824
02/07/2021;6396,72998
09/07/2021;6493,359863
16/07/2021;6481,589844
23/07/2021;6633,77002
30/07/2021;6781,189941
06/08/2021;6882,470215
13/08/2021;6605,890137
20/08/2021;6666,029785
27/08/2021;6763,080078
03/09/2021;6684,720215
10/09/2021;6622,589844
17/09/2021;6701,97998
24/09/2021;6520,009766
01/10/2021;6600,189941
08/10/2021;6685,209961
15/10/2021;6686,169922
22/10/2021;6804,220215
29/10/2021;6987,790039
05/11/2021;7059,549805
12/11/2021;7141,97998
19/11/2021;7075,870117
26/11/2021;6795,75
03/12/2021;7008,22998
10/12/2021;7005,069824
17/12/2021;7106,149902
24/12/2021;7173,22998
31/12/2021;7249,660156
07/01/2022;7201,140137
14/01/2022;7194,160156
21/01/2022;7023,799805
28/01/2022;7005,629883
04/02/2022;7101,549805
11/02/2022;6946,819824
18/02/2022;6521,049805
25/02/2022;6378,370117
04/03/2022;6207,200195
11/03/2022;6612,52002
18/03/2022;6555,77002
25/03/2022;6659,870117
01/04/2022;6461,680176
08/04/2022;6589,350098
15/04/2022;6715,100098
22/04/2022;6508,140137
29/04/2022;6368,399902
06/05/2022;6206,259766
13/05/2022;6272,709961
20/05/2022;6410,580078
27/05/2022;6500,439941
03/06/2022;6358,459961
10/06/2022;5886,240234
17/06/2022;5883,330078
24/06/2022;5922,859863
01/07/2022;6006,700195
08/07/2022;5915,410156
15/07/2022;6201,109863
22/07/2022;6339,209961
29/07/2022;6513,390137
05/08/2022;6544,669922
12/08/2022;6557,399902
19/08/2022;6381,560059
26/08/2022;6034,310059
02/09/2022;6125,899902
09/09/2022;6157,839844
16/09/2022;5918,5
23/09/2022;5676,870117
30/09/2022;5936,419922
07/10/2022;5879,189941
14/10/2022;6086,899902
21/10/2022;6244,029785
28/10/2022;6243,279785
04/11/2022;6556,830078
11/11/2022;6576,120117
18/11/2022;6707,319824
25/11/2022;6753,970215
02/12/2022;6647,310059
09/12/2022;6522,77002
16/12/2022;6517,970215
23/12/2022;6573,470215
30/12/2022;6761,5
06/01/2023;6975,680176
13/01/2023;6951,870117
20/01/2023;6995,990234
